petition_id,action,background,additional_details,state,signature_count,created_at,updated_at,rejected_at,opened_at,closed_at,government_response_at,debate_threshold_reached_at,scheduled_debate_date,debated,debate_overview,government_response_summary,government_response_body,rejection_code,rejection_details
700001,Fund reconstruction surgery and psychosexual therapy for FGM survivors,"We urge the Government to support FGM survivors by providing funding to make reconstructive surgery and psychosexual therapy accessible within the NHS. Many survivors face untreated pain and trauma, facing barriers from high costs and limited NHS resources.","I know firsthand the physical and emotional challenges that come with this experience. FGM isn’t just a traumatic, painful procedure forced upon countless young girls and women; it’s a lifelong burden that affects our health, relationships, and mental well-being. For many survivors, myself included, reconstructive surgery offers a path toward healing—physically and psychologically. However, the lack of accessible options within the NHS leaves too many of us unable to seek this relief.",closed,939,2024-10-30T14:20:17.653Z,2025-04-30T23:00:02.678Z,,2024-10-31T17:30:30.989Z,2025-04-30T22:59:59.999Z,,,,,,,,,
700005,Apply for the UK to join the European Union as a full member as soon as possible,"I believe joining the EU would boost the economy, increase global influence, improve collaboration and provide stability & freedom. I believe that Brexit hasn't brought any tangible benefit and there is no future prospect of any, that the UK has changed its mind and that this should be recognised.","I think the Single Market would bring inward investment, frictionless trade and economic growth benefiting industry and consumers alike.

Full membership could also amplify the UK’s voice on the global stage, allowing it to influence EU policy and regulations, including trade, security and environment.

Joining the EU could provide access to science & research projects and give UK citizens the right to live, work & study across member states, enhancing cultural exchange & personal opportunities.",closed,136650,2024-10-30T14:28:44.914Z,2025-09-17T17:13:14.611Z,,2024-10-31T17:46:29.187Z,2025-04-30T22:59:59.999Z,2024-11-19T14:28:18.247Z,2025-02-11T17:25:10.000Z,2025-03-24,,,"The Government was elected on a manifesto that made clear there will be no return to EU membership. However, we are determined to reset the UK-EU relationship, putting it on a more solid footing.","Since taking office this Government has been working to reset the relationship with our European friends. As part of this, the Government aims to strengthen ties, secure a broad-based security pact and tackle barriers to trade with the EU.  The President of the European Commission and the Prime Minister have met several times and have agreed to strengthen the relationship between the EU and UK. This is not about renegotiating or relitigating Brexit, but about looking forward and realising the potential of the UK-EU relationship.  In particular, we want to work closely to address wider global challenges including economic headwinds, geopolitical competition, irregular migration, climate change and energy prices, which pose fundamental challenges to the shared values of the United Kingdom and the European Union and provide the strategic driver for stronger cooperation.  There will be issues which are difficult to resolve, as well as areas on which we will stand firm. We have been clear we are not going back to the arguments of the past; we are not rejoining the single market or customs union and we will not return to freedom of movement. But we are committed to finding constructive ways to work together and deliver for the British people. This means we will respect international law and shared institutions. We are committed to implementing the Windsor Framework in good faith and protecting the UK internal market. And we are committed to staying in the ECHR.  We will now work with the EU to identify areas where we can strengthen cooperation for mutual benefit, such as the economy, energy, security and resilience. We have been clear that the trading relationship can be improved. We have already said we will seek to negotiate a veterinary/SPS agreement to prevent unnecessary border checks and help tackle the cost of food and will work to help our touring artists and aim to secure mutual recognition for professional qualifications to help open up new markets for UK service exporters.  We are working with the higher education sector to ensure our world leading universities continue to attract the brightest and best and support our economy. Having associated to Horizon Europe, the UK wants its scientists, researchers and businesses to continue to work together with partners in Europe and elsewhere.  This is about turning the page – reinvigorating alliances and forging new partnerships with our European friends, rather than reopening the divisions of the past. We will work to improve the UK’s trade and investment relationship with the EU, tearing down unnecessary barriers to trade. And we will strengthen co-operation to keep our people safe.  Cabinet Office",,
700006,Rejoin the European Union,The UK Government should seek to rejoin the European Union under Article 49 of the Maastricht Treaty. Public opinion has shifted since Brexit and it’s only right we have a seat around the table with our largest trading partner and neighbours.,"The real black hole in the UK’s economy is all the economic growth and investment we’ve lost due to Brexit. By rejoining the European Union we’d be able to trade freely with our closest neighbours and allies, boost British businesses and allow low-paid workers to easily return to work in our country - which many small businesses desperately need.",rejected,10,2024-10-30T14:32:33.904Z,2024-10-31T17:49:06.668Z,2024-10-31T17:48:58.550Z,,,,,,,,,,duplicate,"You may wish to sign this petition which calls for the same action:  

Apply for the UK to join the European Union as a full member as soon as possible - https://petition.parliament.uk/petitions/700005 "
700007,Require dating apps to ensure ID and DBS checks on users & ban violent offenders,"I believe to better protect the public from offenders, the Government should legislate to require dating apps and websites to make it mandatory for users to undergo ID and DBS checks to open an account, and require them to implement permanent bans on users who have committed violent offences.","I believe that the ability for violent offenders and abusers to be able to use false names to speak to women on dating sites is dangerous and a massive flaw in relation to the Domestic Violence Disclosure Scheme, as many people would not be able to actively check the person’s criminal history with incorrect information. If mandatory ID and DBS checks happened before allowing a user to create an account, abusers could be banned from using these apps and they would have to reveal their real name.",closed,1216,2024-10-30T14:34:44.936Z,2025-06-27T07:02:55.390Z,,2024-11-05T18:42:41.810Z,2025-05-05T22:59:59.999Z,,,,,,,,,
700009,"Fund Covid booster vaccines for all, with priority for Long Covid sufferers",Long Covid can ruin lives and cause financial hardship so we believe the Government must try to prevent new Covid infections. We want free Covid booster vaccines for all and Long Covid sufferers should be a prioritised group.,"Currently, many Long Covid sufferers are unable to protect themselves against Covid, which is circulating widely. Research shows repeat infections can cause increasingly severe Long Covid symptoms so we believe sufferers should be considered as medically vulnerable. We think the best way to help prevent repeat infections for existing sufferers is by prioritising vaccination for those who have Long Covid. A full vaccine roll-out could also help prevent new cases of Long Covid by reducing the total number of Covid cases in circulation. Long Covid affects thousands and a recent study estimated that it could cost the economy up to £20 billion due to lost working days.",closed,716,2024-10-30T14:53:44.200Z,2025-06-05T23:00:05.025Z,,2024-12-05T10:04:57.429Z,2025-06-05T22:59:59.999Z,,,,,,,,,
700010,"Only allow alcohol to be sold in pubs and in wine stores between certain times
","I believe alcohol should:

1) only be sold in pubs

2) only be sold in wine stores between certain times","I believe the ease in accessibility to purchase alcohol is ridiculous. I am aware that alcohol may never be banned, but I think there should be restrictions, given how highly addictive it can be.

These rules would mean alcohol wouldn’t be in local corner shops and supermarkets and wouldn’t be being delivered by food delivery services. I have seen alcohol take over people's lives and it can lead to a loss of life. Alcohol can be very addictive and addiction can happen to anyone. By putting these restrictions on this, the NHS could also benefit.",closed,90,2024-10-30T15:00:53.857Z,2025-05-06T23:00:06.616Z,,2024-11-06T17:08:13.781Z,2025-05-06T22:59:59.999Z,,,,,,,,,
700011,Donate migrant boats to Ukraine,"It seems that it costs the British taxpayer to store these boats and engines in Dover and at other facilities. Confiscated from people smugglers, we believe they should be repurposed by donating to the Ukrainian Military for use in defence and rescue missions on Dnipro and other Ukrainian rivers.","If we truly stand with Ukraine against the aggression of Russia then we think the UK should set our expectations high and set a precedent to find ways of assisting Ukraine.

We believe that sending these boats and engines will save the taxpayer money, assist a country in need of help and protect the environment due to not needing to dispose of them.

We think it’s a win, win.
",closed,436,2024-10-30T15:06:27.786Z,2025-05-05T23:00:01.250Z,,2024-11-05T16:26:44.573Z,2025-05-05T22:59:59.999Z,,,,,,,,,
700012,Grant undocumented migrants the right to live and work in the UK,"Implement an urgent, inclusive, and accessible regularisation programme for undocumented people and expand the UK's regularisation mechanisms, in line with Regularise and UN OHCHR recommendations, ensuring pathways to residency, work permits, settlement, and citizenship that respect human rights.","The current rules make regularisation inaccessible to most undocumented migrants, many of whom have lived here for over 5, 10, or 15 years. They are integral members of society but are forced to live on the margins, facing exploitation, destitution, and threats to their well-being. Simple, affordable regularisation and a 5-year path to settlement for all would uphold human rights and dignity, provide security, and promote social cohesion, allowing everyone to participate fully and safely.",rejected,12,2024-10-30T15:08:54.750Z,2024-11-07T15:32:54.473Z,2024-11-07T14:24:58.655Z,,,,,,,,,,no-action,"Petitions need to call on the Government or Parliament to take a specific action.

We're not sure exactly what you'd like the Government or Parliament to do. We are unsure if you'd like them to create pathways for undocumented migrants to obtain indefinite leave to remain, or citizenship.

You could start a new petition explaining clearly what you would like the Government or Parliament to do.


"
700013,Limit the sale and use of Fireworks to licence holders only,"Fireworks killed our mum, Josephine Smith.
Her home was attacked using fireworks. We believe the use of fireworks after sale to the public cannot be policed.
We think all displays should be licensed and sales limited to licence holders only.

 

","Improved regulations on the sale and use of fireworks are backed by a wide range of MPs, charities and organisations and has huge public support.

The distress and trauma caused is very well known to the medical profession, emergency services, human and animal welfare groups AND the Government.

WE are asking the new government not to ignore the problem. It’s time to put the welfare of the vulnerable first.
",closed,87527,2024-10-30T15:10:03.188Z,2025-12-10T09:11:23.278Z,,2024-11-05T13:26:05.473Z,2025-05-05T22:59:59.999Z,2024-12-09T10:43:51.883Z,,2024-12-09,,,"Most people use fireworks in a responsible and safe manner, with laws in place to address misuse. The Government intends to engage with stakeholders to gather evidence on the impact of fireworks.","The Government takes the misuse of fireworks issues seriously. Where local issues are identified, councils and the police have powers to protect the public from misuse and harm. Misuse of fireworks and illegal possession offenses are subject to an unlimited fine and/or six months in prison.  Tackling Anti-Social Behaviour (ASB) is a top priority for this Government, and a key part of our Safer Streets Mission.  We understand that anti-social behaviour causes great harm and misery to our communities, and, if left unchecked, can lead to more serious offending.    The police, local authorities and other local agencies have a range of flexible tools and powers that they can use to respond to ASB through the Anti-social Behaviour, Crime and Policing Act 2014.   It is for local areas to decide how best to deploy these powers depending on the specific circumstances. They are best placed to understand what is driving the behaviour in question, the impact that it is having, and to determine the most appropriate response.   The Government is examining the detail of existing positions to decide if and where policy changes may be needed.  The safety of the public and the impact on people, animals and property will be central in decisions on how we proceed in relation to the regulation of fireworks.   To inform any future decisions the Government intends to engage with businesses, consumer groups and charities shortly after fireworks season to gather evidence on the issues with and impacts of fireworks. While we consider the potential of future regulatory changes, there are steps we can take now to ensure people are able to enjoy fireworks responsibly. To ensure people use fireworks in a safe and considerate manner the Government launched a launch a fireworks campaign for the fireworks season to provide guidance on minimising the impacts of fireworks on animal welfare and encouraging responsible use.  This supplements existing guidance from Government and other organisations that is available to help people to use fireworks safely and appropriately.  Department for Business and Trade     ",,
700014,Decriminalise Abortion,I am calling on the UK government to remove abortion from criminal law so that no pregnant person can be criminalised for procuring their own abortion.,"The U.K is out of step with World Health Organization who in 2022 recommended that barriers to abortion such as criminalisation, or approval of others or institutions should be removed. Amnesty International state that abortion is a human rights issue.",closed,103653,2024-10-30T15:10:26.956Z,2025-06-03T09:33:52.174Z,,2024-11-04T18:02:29.015Z,2025-05-04T22:59:59.999Z,2024-12-24T10:28:09.288Z,2025-03-05T13:32:10.000Z,2025-06-02,,,"All women have a right to access to safe, legal abortions on the NHS.","All women have access to safe, legal abortions on the NHS both in a medical setting and at home, where eligible. In England and Wales, the Abortion Act 1967 defines the criteria under which legal terminations can take place.  The criminal law in relation to procuring an abortion is contained in the Offences Against the Person Act 1861, in particular sections 58 and 59. At this moment the Government has no plans to make changes to these Acts.    Ministry of Justice",,
